review_id,product_id,customer_id,rating,review_text,review_date
1,9,14,5,Good build quality.,2023-05-30
2,146,6,4,Product works as expected.,2023-04-16
3,4,42,5,Very happy with this item.,2023-10-19
4,117,57,5,Amazing product quality.,2023-03-15
5,13,59,4,Very satisfied with this purchase.,2023-06-07
6,135,83,4,Fantastic customer experience.,2023-05-04
7,94,78,4,Great value for money.,2023-03-27
8,81,25,5,Very happy with this item.,2023-09-07
9,107,97,4,Great design and functionality.,2023-02-02
10,82,73,3,Fantastic customer experience.,2023-07-19
11,10,48,4,Great value for money.,2023-04-09
12,63,20,5,Amazing product quality.,2023-10-13
13,124,77,4,Product works as expected.,2023-07-14
14,78,68,5,Arrived quickly and well packaged.,2023-04-03
15,147,100,4,Exactly what I was looking for.,2023-07-05
16,11,15,5,Great design and functionality.,2023-06-02
17,22,21,3,Reliable and durable.,2023-03-17
18,68,69,5,Fantastic customer experience.,2023-05-15
19,105,15,4,Great design and functionality.,2023-06-06
20,56,80,4,Exceeded my expectations.,2023-09-11
21,134,14,3,Great value for money.,2023-10-30
22,144,62,5,Fantastic customer experience.,2023-10-01
23,22,61,5,Would buy again!,2023-03-17
24,42,22,4,High quality materials.,2023-01-24
25,51,65,5,Very happy with this item.,2023-01-24
26,10,48,4,Good build quality.,2023-07-07
27,21,16,5,High quality materials.,2023-06-05
28,97,29,4,Great value for money.,2023-03-22
29,71,75,4,Great value for money.,2023-06-21
30,135,50,4,Perfect for my needs.,2023-09-11
31,92,98,5,Good build quality.,2023-05-19
32,122,84,5,Great value for money.,2023-07-01
33,111,64,5,Fantastic customer experience.,2023-01-21
34,105,96,5,Excellent product! Highly recommended.,2023-02-27
35,17,14,5,Fast shipping and great customer service.,2023-09-25
36,58,87,4,High quality materials.,2023-10-05
37,108,38,5,Arrived quickly and well packaged.,2023-03-09
38,52,22,4,Easy to use and setup.,2023-10-14
39,11,62,2,Good build quality.,2023-09-17
40,74,4,4,Exceeded my expectations.,2023-01-03
41,95,62,4,Reliable and durable.,2023-06-10
42,47,73,4,High quality materials.,2023-06-21
43,48,79,5,Works perfectly.,2023-09-16
